id,channel_sales,tenure_years,months_to_end,months_since_modified,months_since_renewed,yearly_consumption,monthly_consumption,yearly_gas_consumption,yearly_forecast_consumption,yearly_forecast_meter_rent,paid_consumption,net_margin_electricity,net_margin_power,net_margin,avg_price_off_peak_var,avg_price_peak_var,avg_price_mid_peak_var,price_peak_off_peak_ratio_var,std_price_off_peak_var,std_price_peak_var,std_price_mid_peak_var,range_price_peak_var,range_price_off_peak_var,range_price_mid_peak_var,churn
dacd426fb8bc691e8355954e47ce062a,1,4,7,52,4,7916,0,0,1189,23.3,0,16.08,16.08,118.6,0.15,0,0,0,0.002,0,0,0,0.004,0,0
24eba7de2c97ec2130c7f8e5ad680e88,0,4,5,42,6,138732,13461,0,3646,1.44,0,20.2,20.2,316.9,0.147,0,0,0,0.002,0,0,0,0.004,0,0
26aeb6520ab15fdbfd2aef614c3973a8,0,3,11,1,0,67955,10911,0,4482,132.78,582.99,0.9,0.9,539.15,0.125,0.101,0.066,0.814,0.008,0.005,0.02,0.019,0.028,0.072,0
d63e6d82bc52ed44a6eda89b9fcde855,0,5,1,25,10,95149,6825,58727,5569,144.77,535.13,49.8,49.8,583.92,0.124,0.104,0.073,0.835,0.004,0.002,0.001,0.004,0.008,0.003,0
fd0312bc97d753e95c3f5dd31a878037,2,4,12,1,0,15201,0,0,945,15.98,0,26.04,26.04,92.81,0.148,0,0,0,0.002,0,0,0,0.005,0,0
6823af5ac290ec878e582da9c6cbba5a,3,3,3,32,8,33469,3189,0,3501,143.26,312.08,50.1,50.1,363.36,0.123,0.103,0.074,0.835,0.004,0.002,0.001,0.004,0.008,0.003,1
0baa454df3a005fa7621b994b0092213,1,5,3,56,8,21873,0,0,0,0,0,31.2,31.2,1049.5,0.168,0.086,0,0.513,0.002,0.001,0,0.002,0.005,0,0
938ebb29822fad50bc2b32e28e39f83f,0,4,1,0,10,1845,0,0,351,18.37,0,52.56,52.56,30.96,0.19,0,0,0,0.002,0,0,0,0.004,0,0
bbcab4d655929852eb0927417cac6b6a,4,4,5,43,6,62945,5304,96268,6299,0,509.09,36.2,36.2,572.06,0.122,0.101,0.072,0.833,0.005,0.002,0.001,0.005,0.01,0.001,0
23058c967247df32136de3831f813f66,1,5,8,63,3,33454,4515,0,91,16.38,26.25,10.08,10.08,8.15,0.15,0,0,0,0.002,0,0,0,0.004,0,0
dc706f562e1e0fba2c5a7fe4fb4e4912,3,4,11,7,0,19363,0,0,1287,121.13,0,25.8,25.8,194.31,0.125,0.104,0.074,0.836,0.005,0.004,0.002,0.008,0.012,0.004,1
ca9b6cdc599b018bc0103a7d106f3c4d,2,5,3,56,8,5606,0,0,844,3.42,0,29.76,29.76,151.08,0.149,0,0,0,0.002,0,0,0,0.004,0,0
7e7a74cf490968cc37c8c6ba8963cc4c,2,5,6,53,5,5731448,771203,0,3799,144.39,311.33,46.28,46.28,384.14,0.123,0.102,0.073,0.833,0.004,0.002,0.001,0.003,0.008,0.003,0
389bbbe70248fbeecdf9bb1bd0d1da04,0,5,10,61,1,3584,322,0,380,145.98,32.61,57.72,57.72,38.76,0.124,0.104,0.074,0.837,0.004,0.002,0,0.004,0.009,0.001,1
add1bc8783e49475390558e859ba193d,0,5,2,60,9,57462,5119,0,5737,145,501.13,26.56,26.56,515.73,0.123,0.102,0.072,0.833,0.004,0.002,0.002,0.004,0.008,0.004,0
b641cb2ffea4f8554c646388edbfbcca,2,6,6,65,5,1539202,149335,0,3,18.47,0,17.13,17.13,0.13,0.149,0,0,0,0.002,0,0,0,0.003,0,0
f3d2c016681b14b8ea2d3c65379974e0,2,6,5,67,6,803018,67273,0,2553,131.33,5.24,18.12,18.12,317.9,0.124,0.104,0.075,0.836,0.004,0.002,0.001,0.004,0.008,0.003,0
00afaab98ba4e403d34705cb839ad325,1,4,5,48,6,4939487,426460,1860052,3839,143.44,392.99,0,0,323.3,0.119,0.097,0.067,0.815,0.003,0.001,0.001,0.004,0.008,0.002,0
1e4e4b2a9c36f7fe13d55da18f4c7466,1,6,10,25,1,15010,2992,0,2197,18.27,437.61,7.02,7.02,188.61,0.146,0,0,0,0.002,0,0,0,0.004,0,0
fe3179a939c0ac1dd48631bb13c73cd9,4,4,12,1,0,7502,1004,0,1078,19.62,141.68,36.24,36.24,122.45,0.146,0,0,0,0.002,0,0,0,0.005,0,0
b10e59940e9c70984f06fecf86f7abb4,0,4,6,7,5,12280,2028,0,1815,2.42,296.51,21.9,21.9,151.12,0.148,0,0,0,0.002,0,0,0,0.004,0,0
96fd2bb17c4f4a036fee91406f563790,0,4,9,48,2,10910,0,0,1589,13.25,0,17.6,17.6,150.96,0.147,0,0,0,0.002,0,0,0,0.005,0,0
178d694de9bd1d59fd7430c5ab2a55b7,0,4,4,8,7,9134,1936,0,1338,16.33,279.86,25.56,25.56,135.6,0.147,0,0,0,0.002,0,0,0,0.004,0,1
d88625ec4bf860f45b6c67315ef8014d,0,4,5,42,6,788113,16526,0,3064,127.12,185.54,19,19,334.5,0.12,0.1,0.071,0.831,0.004,0.002,0.001,0.004,0.008,0.003,0
cdcc2c363d5b34232082cee78776e59e,1,5,10,61,1,5162,0,0,0,0,0,24.33,24.33,80.3,0.001,0,0,0,0,0,0,0,0,0,0
92e7dcb6abf7608021955e332fc9b9ed,2,5,6,53,5,5731448,771203,0,1760,40.25,0,17.45,17.45,138.84,0.169,0.087,0,0.514,0.002,0.001,0,0.001,0.004,0,0
ee8df1582e431faff2a4dea4b6441ed2,2,6,5,66,6,953085,68400,0,5386,131.04,528.24,24.2,24.2,575.5,0.124,0.103,0.074,0.835,0.003,0.001,0.002,0.004,0.008,0.005,0
1b2d651383111093b7bebf5d5fbade02,3,4,10,1,10,7946,0,0,1182,21.64,0,9.4,9.4,61.86,0.148,0,0,0,0.006,0,0,0,0.013,0,0
7a571c027cda6d3e74756d5216f823ed,0,6,1,0,10,4599,983,0,702,16.03,141.28,34.68,34.68,66.2,0.154,0,0,0,0.011,0,0,0,0.041,0,0
32b2fe499e3b8d7aca7f732fa0263069,0,4,6,29,5,1828,94,0,174,131.01,8.88,27.07,27.07,19.92,0.12,0.1,0.07,0.83,0.004,0.001,0.001,0.003,0.008,0.003,0
900937b8062eaec84aa1e5f16cdfe57d,3,4,2,45,9,15295,1807,0,1314,130.31,140.32,31.32,31.32,156.02,0.128,0.107,0.076,0.84,0.004,0.002,0.001,0.004,0.008,0.003,0
7fb767948e9edd930722609a46cb14e3,1,11,12,131,0,46203,4059,0,4756,131.8,406.28,62.28,62.28,530.56,0.124,0.104,0.073,0.835,0.004,0.002,0.001,0.004,0.008,0.003,0
c46f06993c3aa1f098d55eb9e26979bd,3,4,2,45,9,23372,2087,0,2511,129.61,208.67,33.81,33.81,280.7,0.126,0.106,0.075,0.838,0.004,0.002,0.001,0.005,0.008,0.001,0
d394ccf14e902e1fbe0e02b891c05ad6,0,4,2,45,9,18521,0,0,363,17.69,0,30.22,30.22,36.51,0.151,0,0,0,0.002,0,0,0,0.005,0,0
30e04661a92a66b6deb172d5e85a4750,2,11,3,10,8,4079,282,0,395,132.17,26.61,75.48,75.48,45.84,0.122,0.102,0.073,0.834,0.004,0.002,0.002,0.004,0.008,0.004,0
6eefa8daa35251b7fd5a4d2b1409d86e,0,4,2,9,9,17610,1447,0,1739,144.01,141.49,22.32,22.32,214.93,0.123,0.103,0.072,0.834,0.004,0.002,0.001,0.004,0.008,0.004,0
20f837f8823041630e9f9d528ca6488a,1,6,8,75,3,11907,0,0,1755,16.27,0,11.42,11.42,141.76,0.147,0,0,0,0.002,0,0,0,0.004,0,0
6f7d9c5f8af29302151915ea3e2cff5c,2,6,4,67,7,37791,760,0,1301,132.15,74.48,28.74,28.74,142.82,0.123,0.102,0.073,0.834,0.004,0.002,0.001,0.004,0.008,0.003,0
23b3a38bd7e0d53b7e042cdb3b5a5544,1,11,6,125,5,18420,0,0,1915,120.39,0,11.54,11.54,221.07,0.123,0.102,0.073,0.833,0.004,0.001,0.001,0.003,0.008,0.003,0
a768c35a4ee1e396f81996038bc7dec0,1,7,5,78,6,2454,0,0,368,16.5,0,16.92,16.92,36.11,0.149,0.007,0,0.049,0.002,0.024,0,0.085,0.006,0,0
072babae4d54c612f5042419cd56ec27,4,3,0,13,10,12059,0,0,1185,121.51,0,30,30,154.4,0.122,0.102,0.071,0.832,0.004,0.002,0.001,0.004,0.008,0.005,0
7dfae2b7bcfe76d9251a203988ac909a,0,4,6,6,5,20827,1785,0,2135,141.8,180.42,21.53,21.53,258.14,0.124,0.103,0.074,0.834,0.004,0.002,0.001,0.004,0.009,0.003,0
e91f386614c13becdf81cc47fadfa2a2,0,4,2,45,9,1750,64,0,176,127.81,6.08,37.39,37.39,21.87,0.128,0.107,0.076,0.84,0.004,0.002,0.001,0.004,0.008,0.003,0
a5cb74bb90c992a62bfc6b8a7c0db94b,3,4,7,5,4,8624,665,0,898,129.61,66.26,49.08,49.08,109.91,0.125,0.104,0.075,0.835,0.005,0.003,0.001,0.006,0.011,0.002,0
0f7487e3c557be9c77570e11ce572454,0,5,2,57,9,31653,124,0,82,129.6,12.19,108.9,108.9,10.32,0.128,0.107,0.076,0.84,0.004,0.002,0.001,0.004,0.008,0.003,0
87dc3f37c5dd3e699094783aa1f7f060,0,4,1,47,10,3118110,289924,468369,599,39.77,60.1,42.48,42.48,67.48,0.133,0.102,0.057,0.775,0.008,0.01,0.033,0.023,0.023,0.077,0
42f7698e2ca9b1cd0ca7357fd93be6d6,0,4,1,0,10,18443,240,11931,2973,16.61,0,41.64,41.64,280.38,0.19,0,0,0,0.002,0,0,0,0.004,0,0
b624cf07d52ba3329962f9b83d1da1fc,1,6,12,1,0,21102,0,3156,3118,17.28,0,29.76,29.76,277.18,0.147,0,0,0,0.002,0,0,0,0.004,0,0
80e4fadd0c1e0e39a9ed4ca4bd069993,0,4,4,43,7,1575,76,0,131,18.15,11.22,19.2,19.2,14.73,0.15,0,0,0,0.002,0,0,0,0.004,0,0
3952cc0232b5966ea13302131e16e190,0,3,1,34,10,8209,632,0,915,128.9,68.34,103.68,103.68,108.91,0.128,0.107,0.077,0.84,0.004,0.002,0.001,0.004,0.008,0.003,0
6187a71186583ed2457d182b00b632c5,4,3,2,33,9,15150,4700,0,1638,10.37,494.42,29.76,29.76,134.5,0.168,0.086,0,0.513,0.002,0.001,0,0.002,0.005,0,0
16fcd4b4acbf0c9634d949e06463ae78,0,3,2,33,9,43541,0,0,3560,71.53,0,0.12,0.12,158.33,0.14,0,0,0,0.002,0,0,0,0.004,0,0
65fdfce543a8b9cdc1bed2be6ae62bb9,2,4,4,43,7,19381,0,0,2855,15.96,0,17.22,17.22,239.51,0.147,0,0,0,0.002,0,0,0,0.004,0,0
12a5e27fb3d66d98f79253702b6ac028,2,4,1,27,10,84327,0,0,8528,44.58,0,110.76,110.76,792.96,0.123,0.103,0.072,0.834,0.004,0.002,0.001,0.004,0.008,0.004,0
b417045091796d0a577ee0f4155638e2,2,6,6,66,5,221806,27864,0,3672,16.2,506.7,14.52,14.52,290.83,0.168,0.086,0,0.514,0.002,0.001,0,0.002,0.004,0,0
5acfd7935fc99e2b2b92cd3b4f70100e,0,4,10,3,1,182878,1709,7180,2668,16.27,0,4.86,4.86,203.64,0.147,0,0,0,0.003,0,0,0,0.007,0,0
9d7dbf9ef90236a8c411d8e430b8f715,4,5,1,58,10,19961,2344,8510,1653,132.15,218.89,25.8,25.8,191.08,0.124,0.104,0.073,0.835,0.004,0.002,0.001,0.004,0.008,0.004,0
922fc8b549284c83a21b27abd0f52624,1,11,4,7,6,18660,1211,0,1832,142.2,116.52,18.36,18.36,207.33,0.123,0.102,0.073,0.834,0.004,0.002,0.001,0.004,0.008,0.003,0
fa48d6d921c0c239b70ff101ab311338,0,4,1,47,10,3118110,289924,468369,8364,0,499.08,59.88,59.88,710.57,0.13,0.099,0.055,0.771,0.01,0.008,0.032,0.02,0.027,0.073,0
dd321063ab13d593913e3428c109b916,0,4,4,44,7,896857,113068,0,2931,17.98,605.5,22.95,22.95,224.4,0.166,0.085,0,0.508,0.003,0,0,0.001,0.005,0,0
0cf09df9b70c873d036e8257c239e4b2,3,3,9,4,2,126351,10973,0,2402,30.08,0,8.8,8.8,187.53,0.147,0,0,0,0.003,0,0,0,0.006,0,0
94761506cb929002323c62bc46d9bddc,0,4,10,2,1,23673,0,0,2378,117.53,0,4.77,4.77,328.69,0.125,0.104,0.074,0.837,0.005,0.003,0.001,0.006,0.012,0.002,1
1cdf8092f472c650857e2692598eb947,2,6,4,67,7,215616,16453,0,818,16.29,0,24.42,24.42,82.34,0.15,0,0,0,0.002,0,0,0,0.004,0,0
ccc42440edd23bf9d5090dd738a03fc4,2,6,5,66,6,953085,68400,0,4169,15.55,0,19.28,19.28,366.72,0.168,0.086,0,0.513,0.001,0.002,0,0.004,0.005,0,0
d911943b2779f54d77c345149ff58674,0,4,8,5,3,26936,2380,0,3921,18.22,338.58,14.7,14.7,305.28,0.146,0,0,0,0.003,0,0,0,0.006,0,0
c0465e0147cc1faf14e8793a14c92cd2,0,5,8,4,3,38268,3598,0,2318,167.76,234.18,23.99,23.99,295.02,0.122,0.101,0.072,0.831,0.004,0.002,0.001,0.005,0.009,0.003,0
4042ca74ce1d66b22fdf473911550d23,0,4,10,2,1,9034,637,66289,795,144.4,61.9,18.18,18.18,98.49,0.127,0.107,0.077,0.841,0.005,0.002,0.001,0.006,0.012,0.002,1
edf9b00e045a09a3a6d322ef95914ead,3,4,1,46,10,5230,0,0,691,40.22,0,33.12,33.12,65.79,0.18,0.095,0,0.525,0.004,0.003,0,0.009,0.012,0,1
4d4a8d5a884e49e2a8f7994b21a3cb18,2,5,5,54,6,10,0,0,2,6.67,0,21.52,21.52,0.16,0.15,0,0,0,0.002,0,0,0,0.004,0,0
b8fe4c41001091bf7a8deb0bf068c3a0,3,3,1,0,10,26102,4769,0,3854,17.03,687.43,29.76,29.76,343.02,0.148,0,0,0,0.002,0,0,0,0.006,0,0
a955302d63c22286e40f148992cdecd5,0,3,3,20,8,25134,2393,0,2449,129.97,226.74,27.09,27.09,276.3,0.121,0.101,0.07,0.83,0.004,0.002,0.002,0.004,0.008,0.004,0
ac9033ee1d6056f4ac827d79bedcc72d,0,5,12,1,0,8369,936,0,1251,15.16,136.14,34.68,34.68,121.33,0.149,0.021,0,0.146,0.003,0.037,0,0.085,0.006,0,0
7151df111e58cd696f7698cd5df24dc2,3,4,9,24,2,4536,0,0,679,16.56,0,7.8,7.8,74.83,0.15,0,0,0,0.002,0,0,0,0.004,0,0
ba2a17fe4229a7b5ef8f1b2f2ec76118,1,6,10,3,1,2216,0,0,247,16.24,0,28.02,28.02,16.5,0.167,0.086,0,0.514,0.004,0.002,0,0.004,0.008,0,0
cf8c5db0c02e3f92592daccba41c918c,0,4,2,18,9,35323,4444,20175,4652,142.4,591.62,144.35,144.35,606.29,0.154,0.129,0.095,0.842,0.003,0.002,0.004,0.006,0.008,0.01,0
8a03a1cb07e0c84dc84f9832eae4d23f,2,6,1,1,6,50538,4168,0,5446,132.11,422,18.96,18.96,447.52,0.123,0.103,0.072,0.835,0.004,0.002,0.001,0.005,0.011,0.002,0
904b20b1a37ee824e02b3def266e3be3,0,4,3,8,8,8303,593,0,860,81.16,59.95,40.18,40.18,111.08,0.128,0.104,0.07,0.817,0.007,0.006,0.021,0.022,0.025,0.077,0
5644f65158ce324286f3430e6f8045f5,2,6,3,68,8,142883,10231,0,1013,131.76,96.28,40.38,40.38,118.84,0.125,0.105,0.076,0.838,0.004,0.002,0.001,0.005,0.01,0.001,0
9f747d4a8a435d13296eb8ba99ed481e,0,5,10,3,1,7327,0,0,1065,16.49,0,17.67,17.67,89.79,0.145,0,0,0,0.004,0,0,0,0.008,0,0
8411607f18658283372586d942684841,0,4,5,8,6,11352,0,1717,1684,17.16,0,20.2,20.2,160.48,0.148,0,0,0,0.001,0,0,0,0.004,0,0
bd265cf7f018d2bea11e0cae69b493f1,0,6,8,75,3,1616,0,0,219,13.87,0,10.03,10.03,21.2,0.165,0.086,0,0.525,0.009,0.001,0,0.004,0.024,0,0
20905c7c7871948c57a0e2cfb2fe0cf3,0,6,6,6,5,8729,0,0,836,154.26,0,121.86,121.86,104.56,0.122,0.102,0.072,0.833,0.004,0.002,0.001,0.003,0.008,0.003,0
8a6faf65de6426e8b433d09d5d9b56a4,0,4,3,8,8,34671,3300,0,3717,143.26,333.07,35.88,35.88,351.55,0.125,0.101,0.068,0.816,0.008,0.006,0.021,0.021,0.028,0.075,0
498216090f098387ebb99e559509509b,0,5,10,25,1,217269,19767,0,4420,117.89,542.02,3.9,3.9,573.85,0.124,0.104,0.074,0.839,0.004,0.002,0,0.004,0.009,0.001,0
8b9910da89f91e8b86ee5a92518c9cc8,0,4,6,6,5,27575,3383,0,2856,131.38,341.43,24.26,24.26,344.62,0.123,0.103,0.073,0.833,0.004,0.001,0.002,0.003,0.008,0.003,0
b0615a5bd2c4132a1754f2e874c8f3c5,0,4,12,46,0,7981,580,0,1439,16.4,102.79,20.88,20.88,350.39,0.181,0,0,0,0.002,0,0,0,0.007,0,0
2bb48f30e85010bb4c47fde40cfe4641,0,4,5,42,6,4213,0,0,523,16.61,0,24.4,24.4,55.5,0.15,0,0,0,0.002,0,0,0,0.004,0,1
1fad653775eb3d37d4ca6bd8afb8a45b,0,4,10,49,1,5008,0,0,758,6.45,0,14.1,14.1,84.58,0.151,0,0,0,0.002,0,0,0,0.004,0,0
3715db431bf4edf8f4cb63c8f2df9de6,0,3,1,34,10,31764,2986,0,3220,145.72,294.17,24.72,24.72,384.43,0.126,0.106,0.075,0.838,0.004,0.002,0,0.005,0.008,0.001,0
da81ccd181f3283287a174f4eca547de,0,4,8,51,3,52988,9573,24114,4609,18.37,797.2,10.84,10.84,362.56,0.147,0,0,0,0.002,0,0,0,0.004,0,0
a956e7ddc069887fa85ed8eea869dd8c,0,8,12,96,0,3521,352,0,356,131.38,33.86,47.64,47.64,37.73,0.124,0.104,0.073,0.835,0.004,0.002,0.001,0.004,0.008,0.003,0
9a6bb7b30aecca10e4bb26129643e929,2,6,1,71,10,88807,4856,0,3041,141.93,228.44,74.88,74.88,359.69,0.125,0.102,0.067,0.815,0.007,0.005,0.02,0.02,0.027,0.073,0
5df2c33b1d170ef5096eb42c19c785d4,0,5,10,1,1,38901,4111,34875,3774,130.68,383.77,10.52,10.52,425.36,0.125,0.105,0.075,0.838,0.006,0.004,0.002,0.008,0.014,0.004,0
8d6307c6401f4db4e3857001cc1eeef3,0,4,3,44,8,7217,925,0,272,15.95,31.92,28.6,28.6,28.38,0.151,0,0,0,0.003,0,0,0,0.006,0,0
f73b908e4f30892ad55eb6403c0a4bcf,0,6,6,65,5,60011,1841,0,4063,129.61,182.66,15.45,15.45,457.32,0.123,0.102,0.073,0.833,0.004,0.001,0.001,0.003,0.008,0.003,0
cfa31a97f9ee845e5840b95f6396170b,2,6,3,68,8,500343,21936,0,11648,11.65,0,24.52,24.52,979.3,0.169,0.087,0,0.514,0.002,0.001,0,0.003,0.005,0,0
3871ecf8e6e12beda24e4cce41077f62,1,7,6,78,5,52276,0,0,7720,15.98,0,16.66,16.66,666,0.147,0,0,0,0.002,0,0,0,0.004,0,0
d2c8d051c425fa7e7e5ace3c111d840a,3,3,1,0,10,35393,0,5362,3477,37.65,0,31.2,31.2,333.66,0.166,0.084,0,0.509,0.003,0.001,0,0.001,0.006,0,0
677230f6729d696fe28c07b7bc88d282,0,4,3,26,8,51335,8513,0,822,18.62,122.73,28.6,28.6,86.19,0.151,0,0,0,0.002,0,0,0,0.005,0,0
429f658db66ce265a50710ac3e931b79,1,5,4,55,7,65228,2631,0,2918,16.11,0,23.04,23.04,237.79,0.147,0.007,0,0.049,0.002,0.024,0,0.085,0.004,0,0
c6a696b9fec4dfe700757b241e564a17,0,4,5,6,11,0,0,0,0,128.9,0,77.04,77.04,0.59,0.152,0.126,0.09,0.832,0.018,0.015,0.011,0.034,0.042,0.025,0
21e4be90d4b8f1b7ab7725fc7317cb35,0,6,2,9,9,19004,1821,0,1932,123.93,181.85,34.67,34.67,209.82,0.123,0.102,0.071,0.833,0.004,0.002,0.001,0.004,0.008,0.004,0
4db35277bb03e3f053d9db56af72168c,0,4,1,47,10,3118110,289924,468369,5616,39.77,320.94,49.92,49.92,488.25,0.131,0.101,0.056,0.773,0.009,0.009,0.032,0.023,0.027,0.075,1
312630e3bee704d5c7ed1dfa424f3cbb,0,4,10,49,1,2733,228,0,283,144.64,22.88,31.89,31.89,33.12,0.124,0.104,0.074,0.837,0.004,0.002,0,0.004,0.009,0.001,1
1c55c6785645c643d564dd59ff96204b,1,7,5,78,6,7066,0,0,1059,16.76,0,21.52,21.52,103.87,0.15,0,0,0,0.002,0,0,0,0.004,0,0
aea303fb804fea8d1e7c8af21f80b8d5,0,3,10,37,1,21463,1305,0,916,18.57,0,24.78,24.78,93.66,0.151,0,0,0,0.002,0,0,0,0.004,0,0
c2bc892bf1a5a5e6e6b6be874d7ca338,0,5,11,2,0,6186,1161,0,922,18.32,168.14,20.48,20.48,75.98,0.15,0,0,0,0.003,0,0,0,0.008,0,0
3cd403b9ccce359b055c4600369dfbb3,3,4,8,51,3,8992,1433,0,1344,13.75,210.9,10.08,10.08,130.51,0.15,0,0,0,0.002,0,0,0,0.004,0,0
2e919eb3efb9eb8c1cf5d33a88c2fd5e,2,3,10,2,1,7324,246,0,739,131.38,25,27.39,27.39,83.51,0.122,0.101,0.071,0.833,0.004,0.002,0.001,0.005,0.009,0.003,0
15a3f55e014bd088263edef0abb7c6ea,0,4,12,1,0,30001,4157,38109,1580,0,483.48,23.4,23.4,130.05,0.166,0.085,0,0.509,0.003,0.001,0,0.001,0.006,0,0
7287dad2f1f535d03435ea7c78b557c4,1,6,9,75,2,7950,1100,0,857,132.16,113.82,20,20,94.01,0.124,0.104,0.074,0.838,0.004,0.002,0,0.004,0.009,0.001,0
f14a906f1139c48642c5a921bbe3af0b,0,3,7,5,4,18006,1554,0,1825,144.01,152.85,9.42,9.42,214.2,0.124,0.104,0.074,0.834,0.004,0.002,0.001,0.004,0.008,0.003,0
a29ad433a1585b364e5485ec55b6bbc3,1,6,12,72,0,15803,0,0,462,16.48,0,37.56,37.56,45.07,0.15,0,0,0,0.002,0,0,0,0.004,0,0
0a43f2f6d9f311ee5e64c135b049e0a3,0,4,10,49,1,1060,189,0,79,18.67,12.63,21.09,21.09,7.94,0.151,0,0,0,0.002,0,0,0,0.004,0,0
6b6f0aa1c75ce0ac5b3de3a8d15d6b7a,4,3,8,15,3,4682,0,12837,848,20.13,0,12.82,12.82,61.49,0.178,0,0,0,0.026,0,0,0,0.053,0,0
07d05946352aa1e45262bacaeb60d71d,2,6,5,66,6,1750165,144312,7679,3368,12.25,0,21.12,21.12,391.12,0.168,0.087,0,0.515,0.002,0.001,0,0.002,0.005,0,0
19bb25eff9a22f0193e39831b4b89fd5,1,4,11,2,0,13350,2928,0,1268,15.3,329.09,3.7,3.7,101.05,0.165,0.084,0,0.508,0.003,0.002,0,0.004,0.008,0,0
cbebcabe28180639e5f28eff455d1c93,1,7,10,7,1,12736,870,24723,1309,131.05,85.1,5.19,5.19,150.99,0.124,0.103,0.073,0.836,0.004,0.002,0,0.005,0.009,0.001,0
a8e1fde6d04d0d5f08bc75655a8cf481,0,5,5,55,6,22734,407,0,65,19.5,0,22.52,22.52,6.23,0.15,0,0,0,0.002,0,0,0,0.004,0,0
982b74699f1d50c2c1670e5d654bf1bb,1,6,11,24,0,102239,6732,0,1205,141.86,105.59,2.04,2.04,193.14,0.122,0.102,0.071,0.834,0.004,0.002,0.001,0.004,0.008,0.003,0
0e18e5be3b617e3df09f43b21c2ad134,1,6,10,73,1,378853,26057,0,716,9.74,79.55,22.77,22.77,58.86,0.169,0.088,0,0.518,0.002,0.001,0,0.002,0.005,0,0
6c76e4a866e47756fa793e49f4905306,1,5,10,61,1,1924,286,0,195,135.73,27.94,33.48,33.48,25.1,0.127,0.107,0.077,0.841,0.004,0.002,0,0.006,0.012,0.001,0
4e4a34a6d91ff25d0fdf68733907ad44,0,5,6,17,5,30776,0,0,3045,118.24,0,19.29,19.29,335.78,0.12,0.1,0.071,0.832,0.004,0.002,0.001,0.004,0.008,0.003,0
a9546308598498958f9de8426b28ac84,0,4,3,25,8,59912,3272,0,4071,144.42,316.53,23.88,23.88,505.01,0.125,0.104,0.075,0.837,0.004,0.002,0.001,0.004,0.008,0.003,0
7c1ff4100259887fa7c7ce87e20532d4,3,4,4,20,7,115088,12558,0,6433,130.06,436.36,18.26,18.26,687.48,0.122,0.102,0.073,0.833,0.004,0.002,0.001,0.004,0.009,0.003,0
c4da467575f76cfb24bbd80dc5e2fa3a,0,4,12,1,0,17392,0,0,815,16.63,0,33.12,33.12,83.61,0.15,0,0,0,0.003,0,0,0,0.007,0,0
